"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"13x49",0,0,0.630597988589158,0,0.00669823278990343,0.00694725503190444,0,0,0,0.0315947527607952,0,0.0187188535224051,0.00901417237642126,0,0,0.27555838245085,0.0204523521825977
"13x51",0,0,0.756750996592668,0,0,0,0.0230304386817246,0,0,0,0,0,0,0,0.0126666866697474,0.196408395271326,0.0106160441279911
"13x53",0,0,0.647438113159542,0.00248093500317763,0,0,0,0,0.00272479535824184,0,0,0.00231988579082822,0,0.00799554646222582,0.00748408970431083,0.319864752928497,0.00939179195007371
"13x55",0,0,0.674311001199016,0,0,0,0,0,0.0467038352976288,0.0156106485145555,0,0,0,0,0,0.251566475065565,0.0112048758666928
"13x57",0,0,0.713897198639177,0,0,0.002751589533944,0,0,0,0,0,0,0,0,0.00991066591701128,0.252962298493056,0.0200300106085689
"14x44",0,0,0.73927482803044,0,0,0,0,0,0,0,0,0,0,0,0,0.246841057480871,0.0134414185919049
"14x46",0.00552309336881014,0,0.706040857484781,0.0269946017470666,0,0,0,0,0,0,0.00810873652221107,0,0,0.00358856827219261,0.00373132082854745,0.234539220598146,0.0112629977845147
"14x48",0.00784810551552553,0,0.60345010367458,0,0.0416568414029521,0,0,0,0.0184852339477967,0,0,0,0,0,0,0.323165550560681,0.00503620056790948
"14x50",0,0,0.696941099302995,0,0.0152222083565727,0,0,0,0,0,0,0,0.0102963989673544,0,0.0160346955282127,0.247362744816402,0.0137626322846737
"14x52",0,0,0.688250055389983,0,0.0125816491748268,0,0.010994339601711,0,0,0,0,0,0,0,0.0195490240688653,0.259414461517692,0.00878825094416198
"14x54",0,0,0.716853631598969,0.0194761947357044,0,0,0,0,0,0,0,0,0,0,0,0.246159362584767,0.0171792908182564
"14x56",0,0,0.6934783259525,0.00997295986384191,0,0,0.0151710061486548,0.0192111634883254,0,0,0,0.00423085794180658,0,0,0.00484323693445799,0.244264836711383,0.00793043551937298
"14x58",0,0.00823904224494811,0.744217044845365,0.0197408891014379,0.0171362699207076,0,0,0,0,0.0283297669281481,0,0,0,0,0.00951064121236682,0.155538149864743,0.0170734608835131
"15x43",0,0,0.594596811654163,0,0,0,0,0,0,0,0,0,0,0,0.0385584045542678,0.344038611042531,0.0216336591914666
"15x45",0.00999829066794913,0,0.54588292730879,0.0770831356143144,0.0466337114463609,0,0,0,0,0.0114649037063264,0,0,0,0,0.0202095925492397,0.279702434243129,0.00880049815258354
"15x47",0,0,0.735958069736424,0.0431327797411029,0,0,0,0,0,0,0,0,0,0,0,0.203751893360604,0.0167313459510212
"15x49",0,0,0.704222413921528,0.0266569146172579,0.00420857197896461,0,0,0,0,0,0.0485821328248798,0,0,0,0,0.207845424962967,0.00809433421745988
