"","Interneuron","Microglia","Macrophage","Ependymal","Choroid_plexus","Neurogenesis","Cajal_Retzius","Endothelial_stalk","Mural","Endothelial_tip","Neuron","Entorhinal.cortex","Deep.layer.subiculum","Entorhinal.cortex..IEG.","Dentate.principal","CA1.principle.anterior","CA1.principal","Anterior.Subiculum..proximal.to.CA1","CA3","Lateral.CA3.principal","CA2","Dentate.hilum","Astrocyte","Oligodendrocyte","MyelinProcesses","Polydendrocyte","Layer.6","Layer.5","Medial.habenula","Medial.habenular..lateral.portion","Lateral.habenula","Lateral.Geniculate.Nucleus...LGN.","Lateral.dorsal.thalamic.nuclei..LD."
"merge_spot4100",0,0.00903973400486968,0,0.00318642678168081,0.00210071321468032,0.0274466962330183,0.0020830834741863,0.00448456406220399,0.00175808141150072,0,0,0.00834549967310342,0.00605602725742847,0.0155531928448838,0.0378826152136532,0.00454346251112697,0.0229492958795279,0.00915686144202429,0.224074462105117,0.46507766007867,0.0908660719963691,0,0.0251207445821769,0,0.00874644251506568,0.0194290246684739,0,0,0,0.00232589080996422,0,0,0.00912392950286162
"merge_spot4101",0.261217677144385,0.00191484348844445,0.0165051389366865,0,0,0.0540262631738229,0,0,0,0.0013277807759578,0.0132092958416773,0,0,0,0,0,0,0,0,0.571205533293216,0.0696050182626544,0,0.00695867473027798,0,0,0,0,0,0,0,0,0,0.00235876210522705
"merge_spot4102",0,0,0.00167340192129431,0,0.00444601923001148,0.0749180145259864,0,0,0,0,0,0.0314334552055976,0,0.0769083818345241,0.020968091979279,0,0,0,0.116701563690376,0.559880132254149,0.095038451370145,0,0,0,0.0102280261400528,0,0,0,0,0,0,0.00705319342660292,0
"merge_spot4103",0,0.0126670506761725,0,0,0,0.0264090643862278,0.0674045297966303,0.00514125721336005,0,0,0,0.0192991876717526,0,0,0.164794082829934,0,0,0,0.196290078162416,0.345074910039847,0.135784069993861,0,0.00549339367980033,0,0.0180620459441556,0.00256890456942462,0,0,0,0,0,0,0
"merge_spot4104",0,0.014824400394906,0,0,0,0.00759578976958675,0,0,0.0185395617625971,0.00844146035463558,0.242461472480799,0,0,0.040480871222048,0.140157038133144,0,0.138043045540934,0,0,0.00376049481379544,0,0,0.178358300409608,0,0.0062317002009803,0.0396589861263294,0.12337290921148,0,0,0,0.0371460313749339,0,0
"merge_spot4105",0,0.00886857910654045,0,0.00407604262693039,0,0,0,0.00309931897631204,0,0,0,0,0,0,0,0,0.224507732654374,0,0,0,0,0,0.0118930322252757,0.0344668987540808,0.0247294886776869,0.0161175253616245,0.200262486396585,0.470749668835525,0,0,0,0,0
"merge_spot4106",0.0293345389909841,0.00664843908417357,0,0,0.00120093022233993,0.00760265159214825,0,0,0,0,0,0,0,0,0,0,0.167181084300807,0,0,0,0,0,0.0340354613414511,0.00549880939982667,0.00143356212428468,0.0142447843109231,0.063535376062059,0.659532825058046,0,0,0.00792584230761617,0,0
"merge_spot4107",0.00750391714405035,0.0250580754829267,0,0,0.00153772087471106,0.0159918507055682,0,0,0,0,0,0,0,0,0.00111066746358394,0,0,0,0.0286889355354622,0,0,0,0.0421421758390244,0,0.00381582605103311,0,0,0.827571365863367,0,0,0,0,0.0457755408193178
"merge_spot4108",0.166052485605925,0.0123993393612421,0.00118775680816457,0,0,0,0,0,0.00271073972045662,0,0,0,0,0,0,0,0,0,0.00931887008775034,0,0,0,0.0228571598689602,0,0.0329872034815727,0.00357178284327303,0,0.746257695615461,0,0,0,0,0.00152373464863893
"merge_spot4109",0.343356900151353,0.0213314228246682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371363585809469,0,0,0,0,0,0.0244515940003666,0,0.0594307401069019,0,0,0.451119000908356,0,0,0,0,0.0615259341312531
"merge_spot4110",0.121157118249975,0.00557750202463,0,0,0,0,0,0,0,0,0,0,0,0,0.00100608290564378,0,0,0,0,0,0,0,0.0344879420997519,0,0.0146761220715927,0.00332252151637213,0,0.818817291977026,0,0,0,0,0
"merge_spot4111",0,0.0129630305428088,0,0,0,0.0028463280164528,0,0,0,0,0,0,0,0,0,0,0.0742344194109177,0,0,0,0,0,0.0346175820363317,0.0547638861243782,0.0409869798568614,0,0,0.709327544294705,0,0,0,0.035412116674726,0.0340249992753499
